Mon Jul 20 03:03:15 +0000 2015	Dessy Lite	xkahlill_	622964961392885761	null	null
Mon Jul 20 03:08:58 +0000 2015	Jon Reimer	TheReimereason	622966398990442497	null	null
Mon Jul 20 03:13:52 +0000 2015	Karen L	ishadow1	622967632489246720	null	null
Mon Jul 20 03:15:27 +0000 2015	Kelsey Meyer	IAmTheFun1	622968032831213568	null	null
Mon Jul 20 03:33:42 +0000 2015	Karrah	Karrahmello	622972625736699904	null	null
Mon Jul 20 03:52:58 +0000 2015	Shannon	playpanic	622977473039368192	null	null
Mon Jul 20 03:59:44 +0000 2015	Michael Thomas	MTjr_15	622979175952052224	null	null
Mon Jul 20 04:01:07 +0000 2015	Robert Cullen	digitalsuffolk	622979521583685632	null	null
Mon Jul 20 04:07:28 +0000 2015	Jaclynn Magnuson 	Shortayy16	622981123606380544	null	null
Mon Jul 20 04:33:56 +0000 2015	Real Brutha Lester™©	DiveConLFP	622987783985070086	null	null
Mon Jul 20 04:50:58 +0000 2015	Georgia Lee Deakin	cookielady1977	622992067388682241	null	null
Mon Jul 20 04:55:42 +0000 2015	Amanda Shavers-Davis	AHShavers	622993261918089216	null	null
Mon Jul 20 05:06:51 +0000 2015	¡Bangerang!	0hcellyb0n	622996067609628672	[38.275531, -121.297325]	Galt in CA
Mon Jul 20 05:15:28 +0000 2015	Sāvion Wrīght	SavionWright	622998236249329664	null	null
Mon Jul 20 05:21:50 +0000 2015	Nikki Francisco ️ ️	nikkifrancisco2	622999835101282304	null	null
Mon Jul 20 05:53:12 +0000 2015	dollar store proud	alexiamielke	623007729766903809	null	null
Mon Jul 20 06:32:30 +0000 2015	Valerie Shaw	mumbles84	623017621793935360	null	null
Mon Jul 20 06:34:32 +0000 2015	Sanu Nair	Sanusays	623018133796683776	null	null
Mon Jul 20 06:42:59 +0000 2015	MOHSIN ALI	mianz2000	623020259583201280	[25.270717, 55.317501]	Dubai in United Arab Emirates
Mon Jul 20 06:52:43 +0000 2015	alett	alettlewis	623022706821328896	null	null
Mon Jul 20 06:53:59 +0000 2015	MinervaBajrangiBehen	LifeofSigh	623023026632667136	null	null
Mon Jul 20 07:07:04 +0000 2015	Jazmin	cuarentajazz	623026320142798848	null	null
Mon Jul 20 07:28:21 +0000 2015	Yael	itsmeYaelG	623031676294287360	null	null
Mon Jul 20 07:43:30 +0000 2015	Sarcasm Alert	SarcasmAlert_	623035489386270720	null	null
Mon Jul 20 08:27:42 +0000 2015	Beth Vaughn	BethVaughnRTV6	623046610042376192	null	null
Mon Jul 20 08:27:43 +0000 2015	Ruthen	RutheniaRus	623046615742464000	null	null
Mon Jul 20 09:08:39 +0000 2015	Sam Vimes	SamVimes6	623056918173642752	null	null
Mon Jul 20 11:13:21 CEST 2015	Aaron Hughes	aaronhaaronh	623058098421260288	null	null [par]
Mon Jul 20 11:18:48 CEST 2015	Justin Hamilton	justinhamilton_	623059469707034624	null	null [par]
Mon Jul 20 09:20:56 +0000 2015	paul glassbrook	glassy3012	623060007009959936	null	Birmingham in England
Mon Jul 20 09:35:59 +0000 2015	Matt J	psyko514	623063796966367232	null	null
Mon Jul 20 11:37:08 CEST 2015	Nuklearia e.V.	Nuklearia	623064085618393088	null	null [par]
Mon Jul 20 11:37:41 CEST 2015	Modupe	moviegistR	623064222021341184	null	null [par]
Mon Jul 20 09:39:30 +0000 2015	Nico & Simba	mindtheraccoons	623064679724810240	null	null
Mon Jul 20 09:42:07 +0000 2015	Untraceble	anantjoshi84	623065340788903936	null	null
Mon Jul 20 09:55:19 +0000 2015	cbCOOL1248	cbCOOL1248	623068660735868928	null	null
Mon Jul 20 11:56:51 CEST 2015	Adeola	Taofeek_Adeola	623069048713023488	null	null [par]
Mon Jul 20 10:03:03 +0000 2015	Deborah	debsie13	623070608394424320	null	null
Mon Jul 20 12:34:01 CEST 2015	David Furlong	Davefvilla	623078399469297664	null	null [par]
Mon Jul 20 10:41:10 +0000 2015	L.L. Bulldawg	fionaclk	623080201174523904	null	null
Mon Jul 20 12:47:06 CEST 2015	Helen 	hmky	623081694007042048	null	null [par]
Mon Jul 20 10:47:54 +0000 2015	Ksenia C. Lebedeva	KseniaCLeb	623081894532530176	null	null
Mon Jul 20 12:48:43 CEST 2015	lorihalford	lorihalford	623082098715402240	null	null [par]
Mon Jul 20 10:52:58 +0000 2015	Master Shinobi	DarthShinobi	623083169982623744	null	null
Mon Jul 20 10:54:38 +0000 2015	Paul Gemmell	paulgtrainer	623083588049870848	null	null
Mon Jul 20 10:58:58 +0000 2015	THE MULL	ShitThatAdamSay	623084679189630976	null	null
Mon Jul 20 13:00:40 CEST 2015	Greg Van Beek	GregVB	623085108493479937	null	null [par]
Mon Jul 20 13:05:16 CEST 2015	peter metalli	petermetalli	623086263021764608	null	null [par]
Mon Jul 20 13:23:32 CEST 2015	Raptor Squad | 290	shortcakejared	623090861040136192	null	null [par]
Mon Jul 20 13:28:48 CEST 2015	Marie	TheMoreTheMary_	623092185454481408	null	null [par]
Mon Jul 20 11:31:20 +0000 2015	itslynnotline	itsLYNnotLINE	623092824133750784	null	null
Mon Jul 20 11:34:19 +0000 2015	Steven Furst	sfurstar	623093573135769600	null	null
Mon Jul 20 11:34:27 +0000 2015	Nirmalya Dutta	nemothegreat1	623093610175528960	null	Navi Mumbai in Maharashtra
Mon Jul 20 13:41:43 CEST 2015	Robin Illingworth	bobillingworth	623095438074228738	null	null [par]
Mon Jul 20 13:45:00 CEST 2015	Heena Khaled	HeenaKhaled	623096262968123392	null	null [par]
Mon Jul 20 13:46:19 CEST 2015	Madi White	madawann	623096593172971520	null	Melbourne in Victoria [par]
Mon Jul 20 11:59:15 +0000 2015	Keelan Sullivan	Ksulls39	623099851794812929	null	null
Mon Jul 20 14:00:30 CEST 2015	Peter Learoyd	MyTypoHumour	623100163641470977	null	null [par]
Mon Jul 20 14:04:26 CEST 2015	Sneha Tejas Jinaral	SneSuDe	623101152251392000	null	null [par]
Mon Jul 20 12:07:10 +0000 2015	⠀⠀⠀ 	claricelish	623101844026359808	null	null
Mon Jul 20 14:13:05 CEST 2015	Mary Jo Collins	MoJoDisney	623103330341027840	null	null [par]
Mon Jul 20 12:14:49 +0000 2015	Keelan Sullivan	Ksulls39	623103767559274496	null	null
Mon Jul 20 14:19:10 CEST 2015	Brian Foster	BrianFosterFSU	623104863858241536	null	null [par]
Mon Jul 20 12:35:03 +0000 2015	Ethan Wayne	stoicgeek	623108858412568576	null	null
Mon Jul 20 14:36:17 CEST 2015	Sayen CroWolf	SayenCroWolf	623109171173552128	null	null [par]
Mon Jul 20 14:43:19 CEST 2015	Mordechai Luchins	typolad	623110940242874368	null	null [par]
Mon Jul 20 12:46:00 +0000 2015	Ice Traigh	IceTraigh	623111614372274176	null	null
Mon Jul 20 14:48:26 CEST 2015	Richard	Strayslacks	623112228363968512	null	null [par]
Mon Jul 20 15:20:33 CEST 2015	Frou	Froufrou42	623120309319823360	null	null [par]
Mon Jul 20 15:20:38 CEST 2015	Alex Norman	alexnorman	623120330710777856	null	null [par]
Mon Jul 20 15:26:25 CEST 2015	8 Legged Trio	8LeggedTrio	623121784288710656	null	null [par]
Mon Jul 20 15:27:42 CEST 2015	Derek	DTang0426	623122110622363648	null	null [par]
Mon Jul 20 13:35:42 +0000 2015	Amy	MammaLewis	623124123242340352	null	null
Mon Jul 20 13:36:39 +0000 2015	Carla Bowman	CharlieBee007	623124361118154753	null	null
Mon Jul 20 15:41:34 CEST 2015	Bad Lawyer	LawyerIsBad	623125599389794305	null	null [par]
Mon Jul 20 13:46:57 +0000 2015	~Ele~	xbeginagainx	623126953994907648	null	null
Mon Jul 20 14:08:48 +0000 2015	Simon Krause	simk81	623132453478248448	null	null
Mon Jul 20 16:09:55 CEST 2015	Catherine Harts	CatherineHarts	623132732005216256	null	null [par]
Mon Jul 20 14:14:03 +0000 2015	Kenny	Kennyo415	623133772674924544	null	null
Mon Jul 20 16:14:57 CEST 2015	rhoda bharath	rhodabharath	623133998043152384	null	null [par]
Mon Jul 20 16:21:06 CEST 2015	Jennifer Evans	jen_in_spokane	623135546211069953	null	Spokane in WA [par]
Mon Jul 20 14:21:13 +0000 2015	Ryan Shawgo	dzrboston	623135578985467904	null	null
Mon Jul 20 14:32:25 +0000 2015	Ric the Magnificent	NASCARNAC	623138393539657728	null	null
Mon Jul 20 14:32:47 +0000 2015	Michelle Kopier	OEMEditor	623138489744367617	null	null
Mon Jul 20 16:39:42 CEST 2015	Henry Goodhue	HEAprez	623140228103041024	null	null [par]
Mon Jul 20 16:39:54 CEST 2015	Chris	OneEaredDonkey	623140278908555264	null	null [par]
Mon Jul 20 16:41:05 CEST 2015	Dana Jones	danabrit	623140575227826176	null	null [par]
Mon Jul 20 16:43:34 CEST 2015	Anders Forsell	AndersHForsell	623141201621983233	null	null [par]
Mon Jul 20 16:45:06 CEST 2015	Thabang  Phaleng	ThabangPhaleng	623141585576923136	null	null [par]
Mon Jul 20 16:51:15 CEST 2015	Katt Alyssa	KattAlyssa	623143133778280449	null	null [par]
Mon Jul 20 16:53:20 CEST 2015	Ana Jonessy	anajonessy	623143660452843520	null	null [par]
Mon Jul 20 14:57:32 +0000 2015	TheBipolarRck'n'Rllr	BipolrRcknRollr	623144716742234112	null	null
Mon Jul 20 14:58:13 +0000 2015	Mind-Forged Manacles	MindForgedOne	623144887970500608	null	null
Mon Jul 20 15:01:34 +0000 2015	Anthony Feliciano	Bigpuertorican	623145732090916866	null	null
Mon Jul 20 15:13:51 +0000 2015	torid110	torid110	623148823985008641	null	null
Mon Jul 20 17:21:09 CEST 2015	Rishi Iyengar	OfficeOfRI	623150659446018048	null	null [par]
Mon Jul 20 17:21:28 CEST 2015	Ravenous I.K.E. 	RavenousIKE	623150737380503552	null	null [par]
Mon Jul 20 17:30:39 CEST 2015	Carson Xu	Shoe_Carson	623153048773357568	null	null [par]
Mon Jul 20 17:31:16 CEST 2015	Tonks	TonksGirly	623153207267627008	null	null [par]
Mon Jul 20 17:36:06 CEST 2015	Austin Dannhaus	austinblake	623154420415528960	null	null [par]
Mon Jul 20 17:42:54 CEST 2015	Shady Bruh	ElijahsHeart	623156131360325633	null	null [par]
Mon Jul 20 17:47:34 CEST 2015	Dr Emon Farrah Malik	EmonFarrah	623157307283767297	null	null [par]
Mon Jul 20 15:53:47 +0000 2015	Sushant Singh	SushantSin	623158872258142208	null	null
Mon Jul 20 15:57:29 +0000 2015	Madison McGrew	MadisonMcGrew	623159804639465472	null	null
Mon Jul 20 18:00:52 CEST 2015	The Technician	HarryThetech76	623160653520318465	null	null [par]
Mon Jul 20 18:05:42 CEST 2015	???????	nastyatuman	623161872997556224	null	null [par]
Mon Jul 20 18:12:42 CEST 2015	Izzah	physicalshin	623163634462556160	null	null [par]
Mon Jul 20 18:14:13 CEST 2015	Ajay Miglani	iamAjee	623164015653560320	null	null [par]
Mon Jul 20 16:22:25 +0000 2015	The Kid	thekidnetherton	623166078299054081	null	null
Mon Jul 20 16:23:48 +0000 2015	myroslawa brulak	myroslawabrulak	623166427898474496	null	null
Mon Jul 20 16:24:33 +0000 2015	**BRUNxBRUNS**	OurDEisHuge	623166613852934144	null	null
Mon Jul 20 16:25:09 +0000 2015	Hanns Wrobel	WrobelHanns	623166766068334592	null	null
Mon Jul 20 16:27:00 +0000 2015	Janie	janie_agk	623167233246797824	null	null
Mon Jul 20 16:32:24 +0000 2015	Don Perrien	DonPerrien	623168589223231488	null	null
Mon Jul 20 18:33:06 CEST 2015	Murse101	ManNurse5	623168764507328512	null	null [par]
Mon Jul 20 16:45:31 +0000 2015	Alun Waterhouse	AlunWaterhouse	623171892887842820	null	null
Mon Jul 20 16:48:15 +0000 2015	Mind-Forged Manacles	MindForgedOne	623172578710962176	null	null
Mon Jul 20 16:48:21 +0000 2015	Brian	brownbw	623172604787081216	null	null
Mon Jul 20 16:53:33 +0000 2015	Sam Jones	MrSamJones13	623173914114572288	[30.379219, -86.871239]	Navarre Beach in FL
Mon Jul 20 18:58:38 CEST 2015	Nitin Talwar	NitinTalwar81	623175193452675072	null	null [par]
Mon Jul 20 19:05:56 CEST 2015	Greg Koch	iamgregk	623177030683627520	null	null [par]
Mon Jul 20 17:13:15 +0000 2015	Anita Louise	double0_4life	623178869219151872	null	null
Mon Jul 20 17:13:46 +0000 2015	Jeff Evans	vitalogist	623179000551092224	null	null
Mon Jul 20 19:18:55 CEST 2015	Brad M.	bmast39	623180297882841088	null	null [par]
Mon Jul 20 17:22:13 +0000 2015	November'NoonieBoo	aLoveable_Heart	623181127474221056	null	null
Mon Jul 20 17:23:05 +0000 2015	Brian Gundell	bgundell	623181343304781824	null	West Linn in OR
Mon Jul 20 17:24:10 +0000 2015	Pam	mortgageconsult	623181616496701440	null	Winthrop Harbor in IL
Mon Jul 20 19:24:54 CEST 2015	Steve Wilson	Steve_Lockstep	623181801775742976	null	San Carlos in CA [par]
Mon Jul 20 17:26:42 +0000 2015	Brick	puckit_	623182254647459840	null	null
Mon Jul 20 19:27:21 CEST 2015	Patrick Jamet	JametPatrick	623182417835257856	null	Blangy-le-Château in Basse-Normandie [par]
Mon Jul 20 17:31:10 +0000 2015	sourabh jain	jsourabh1	623183377919684608	null	null
Mon Jul 20 19:31:49 CEST 2015	Patrick Walsh	j_pwalsh	623183540952416256	null	null [par]
Mon Jul 20 17:32:44 +0000 2015	Tessa Gratton	tessagratton	623183775556628484	null	null
